RUN	ComputerDatabaseSimulation	computerdatabasesimulation	1548616301032	 	3.0.0-RC4
USER	Users	1	START	1548616304273	1548616304273
USER	Users	2	START	1548616304388	1548616304388
USER	Users	3	START	1548616304486	1548616304486
USER	Users	4	START	1548616304589	1548616304589
USER	Users	5	START	1548616304686	1548616304686
USER	Users	6	START	1548616304790	1548616304790
REQUEST	1		Home	1548616304316	1548616304781	OK	 
REQUEST	2		Home	1548616304388	1548616304859	OK	 
USER	Users	7	START	1548616304909	1548616304909
REQUEST	3		Home	1548616304487	1548616304933	OK	 
USER	Users	8	START	1548616305008	1548616305008
REQUEST	4		Home	1548616304589	1548616305087	OK	 
USER	Users	9	START	1548616305111	1548616305111
REQUEST	1		Home Redirect 1	1548616304829	1548616305097	OK	 
REQUEST	2		Home Redirect 1	1548616304866	1548616305149	OK	 
REQUEST	5		Home	1548616304687	1548616305197	OK	 
REQUEST	3		Home Redirect 1	1548616304934	1548616305206	OK	 
USER	Users	10	START	1548616305207	1548616305207
REQUEST	6		Home	1548616304792	1548616305268	OK	 
USER	Users	11	START	1548616305307	1548616305307
REQUEST	4		Home Redirect 1	1548616305096	1548616305348	OK	 
REQUEST	7		Home	1548616304917	1548616305413	OK	 
USER	Users	12	START	1548616305407	1548616305407
REQUEST	8		Home	1548616305008	1548616305550	OK	 
USER	Users	13	START	1548616305510	1548616305510
REQUEST	5		Home Redirect 1	1548616305205	1548616305567	OK	 
REQUEST	6		Home Redirect 1	1548616305269	1548616305579	OK	 
REQUEST	9		Home	1548616305122	1548616305630	OK	 
USER	Users	14	START	1548616305608	1548616305608
REQUEST	10		Home	1548616305246	1548616305732	OK	 
USER	Users	15	START	1548616305708	1548616305708
REQUEST	7		Home Redirect 1	1548616305421	1548616305733	OK	 
REQUEST	11		Home	1548616305308	1548616305800	OK	 
USER	Users	16	START	1548616305807	1548616305807
REQUEST	8		Home Redirect 1	1548616305569	1548616305833	OK	 
REQUEST	9		Home Redirect 1	1548616305634	1548616305912	OK	 
USER	Users	17	START	1548616305910	1548616305910
REQUEST	10		Home Redirect 1	1548616305735	1548616305963	OK	 
REQUEST	12		Home	1548616305415	1548616306001	OK	 
REQUEST	13		Home	1548616305549	1548616306032	OK	 
USER	Users	18	START	1548616306007	1548616306007
REQUEST	11		Home Redirect 1	1548616305802	1548616306116	OK	 
REQUEST	14		Home	1548616305622	1548616306118	OK	 
USER	Users	19	START	1548616306106	1548616306106
USER	Users	20	START	1548616306207	1548616306207
REQUEST	15		Home	1548616305731	1548616306316	OK	 
REQUEST	13		Home Redirect 1	1548616306034	1548616306414	OK	 
USER	Users	21	START	1548616306310	1548616306310
REQUEST	12		Home Redirect 1	1548616306011	1548616306417	OK	 
REQUEST	16		Home	1548616305830	1548616306434	OK	 
REQUEST	17		Home	1548616305913	1548616306451	OK	 
USER	Users	22	START	1548616306346	1548616306346
USER	Users	23	START	1548616306451	1548616306451
REQUEST	14		Home Redirect 1	1548616306127	1548616306509	OK	 
USER	Users	24	START	1548616306547	1548616306547
USER	Users	25	START	1548616306646	1548616306646
REQUEST	2		Search	1548616306194	1548616306534	OK	 
REQUEST	3		Search	1548616306296	1548616306577	OK	 
REQUEST	1		Search	1548616306151	1548616306548	OK	 
REQUEST	19		Home	1548616306117	1548616306851	OK	 
REQUEST	18		Home	1548616306017	1548616306851	OK	 
