RUN	ComputerDatabaseSimulation	computerdatabasesimulation	1548034497676	 	3.0.0-RC4
USER	Users	1	START	1548034499665	1548034499665
USER	Admins	4	START	1548034499705	1548034499705
REQUEST	1		Home	1548034499698	1548034500139	OK	 
REQUEST	4		Home	1548034499706	1548034500139	OK	 
REQUEST	1		Home Redirect 1	1548034500171	1548034500413	OK	 
REQUEST	4		Home Redirect 1	1548034500171	1548034500413	OK	 
USER	Users	2	START	1548034500693	1548034500693
REQUEST	2		Home	1548034500693	1548034501116	OK	 
REQUEST	2		Home Redirect 1	1548034501118	1548034501345	OK	 
USER	Users	3	START	1548034501693	1548034501693
REQUEST	4		Search	1548034501431	1548034501655	OK	 
REQUEST	1		Search	1548034501432	1548034501663	OK	 
REQUEST	3		Home	1548034501694	1548034502143	OK	 
REQUEST	3		Home Redirect 1	1548034502146	1548034502381	OK	 
REQUEST	2		Search	1548034502368	1548034502592	OK	 
USER	Users	5	START	1548034502655	1548034502655
REQUEST	4		Select	1548034502656	1548034502879	OK	 
REQUEST	1		Select	1548034502666	1548034502894	OK	 
REQUEST	5		Home	1548034502655	1548034503076	OK	 
REQUEST	5		Home Redirect 1	1548034503079	1548034503298	OK	 
REQUEST	3		Search	1548034503394	1548034503623	OK	 
USER	Users	6	START	1548034503653	1548034503653
REQUEST	2		Select	1548034503595	1548034503846	OK	 
REQUEST	6		Home	1548034503653	1548034504113	OK	 
REQUEST	4		Page 0	1548034503893	1548034504120	OK	 
REQUEST	1		Page 0	1548034503909	1548034504136	OK	 
REQUEST	6		Home Redirect 1	1548034504116	1548034504354	OK	 
REQUEST	5		Search	1548034504314	1548034504532	OK	 
USER	Admins	8	START	1548034504657	1548034504657
USER	Users	7	START	1548034504657	1548034504657
REQUEST	3		Select	1548034504636	1548034504877	OK	 
REQUEST	2		Page 0	1548034504850	1548034505076	OK	 
REQUEST	8		Home	1548034504658	1548034505085	OK	 
REQUEST	7		Home	1548034504659	1548034505109	OK	 
REQUEST	8		Home Redirect 1	1548034505087	1548034505366	OK	 
REQUEST	7		Home Redirect 1	1548034505111	1548034505371	OK	 
REQUEST	4		Page 1	1548034505129	1548034505378	OK	 
REQUEST	1		Page 1	1548034505133	1548034505382	OK	 
REQUEST	6		Search	1548034505388	1548034505622	OK	 
USER	Users	9	START	1548034505653	1548034505653
REQUEST	5		Select	1548034505539	1548034505761	OK	 
REQUEST	9		Home	1548034505654	1548034506068	OK	 
REQUEST	3		Page 0	1548034505876	1548034506109	OK	 
REQUEST	9		Home Redirect 1	1548034506070	1548034506299	OK	 
REQUEST	2		Page 1	1548034506080	1548034506306	OK	 
REQUEST	4		Page 2	1548034506377	1548034506603	OK	 
REQUEST	1		Page 2	1548034506388	1548034506618	OK	 
REQUEST	8		Search	1548034506400	1548034506621	OK	 
REQUEST	7		Search	1548034506399	1548034506629	KO	css((a:contains('Macbook Pro'),Some(href))).find.exists, found nothing
USER	Users	10	START	1548034506664	1548034506664
ERROR	Select: Failed to build request: No attribute named 'computerUrl' is defined 	1548034507858
REQUEST	6		Select	1548034506610	1548034508023	OK	 
USER	Users	11	START	1548034507663	1548034507663
REQUEST	5		Page 0	1548034507854	1548034508126	OK	 
REQUEST	9		Search	1548034508025	1548034508248	KO	css((a:contains('Macbook Pro'),Some(href))).find.exists, found nothing
REQUEST	2		Page 2	1548034508024	1548034508257	OK	 
REQUEST	3		Page 1	1548034508023	1548034508262	OK	 
REQUEST	8		Select	1548034508027	1548034508266	OK	 
REQUEST	1		Page 3	1548034508122	1548034508451	OK	 
REQUEST	4		Page 3	1548034508027	1548034508451	OK	 
REQUEST	10		Home	1548034507853	1548034508451	OK	 
REQUEST	11		Home	1548034508124	1548034508659	OK	 
USER	Users	12	START	1548034508657	1548034508657
REQUEST	10		Home Redirect 1	1548034508452	1548034508686	OK	 
REQUEST	11		Home Redirect 1	1548034508660	1548034508878	OK	 
REQUEST	12		Home	1548034508658	1548034509089	OK	 
REQUEST	7		Page 0	1548034508884	1548034509113	OK	 
ERROR	Select: Failed to build request: No attribute named 'computerUrl' is defined 	1548034509246
REQUEST	6		Page 0	1548034509025	1548034509260	OK	 
REQUEST	12		Home Redirect 1	1548034509090	1548034509313	OK	 
REQUEST	5		Page 1	1548034509135	1548034509352	OK	 
REQUEST	8		Page 0	1548034509273	1548034509491	OK	 
REQUEST	2		Page 3	1548034509268	1548034509497	OK	 
REQUEST	3		Page 2	1548034509268	1548034509503	OK	 
REQUEST	4		Page 4	1548034509449	1548034509670	OK	 
REQUEST	1		Page 4	1548034509449	1548034509679	OK	 
REQUEST	10		Search	1548034509708	1548034509937	KO	css((a:contains('Macbook Pro'),Some(href))).find.exists, found nothing
REQUEST	11		Search	1548034509894	1548034510104	OK	 
REQUEST	7		Page 1	1548034510133	1548034510362	OK	 
REQUEST	9		Page 0	1548034510256	1548034510476	OK	 
REQUEST	6		Page 1	1548034510277	1548034510513	OK	 
REQUEST	12		Search	1548034510323	1548034510541	OK	 
REQUEST	5		Page 2	1548034510343	1548034510558	OK	 
USER	Users	1	END	1548034499665	1548034510686
REQUEST	8		Page 1	1548034510490	1548034510705	OK	 
REQUEST	2		Page 4	1548034510494	1548034510717	OK	 
REQUEST	3		Page 3	1548034510494	1548034510730	OK	 
REQUEST	4		Form	1548034510674	1548034510891	OK	 
ERROR	Select: Failed to build request: No attribute named 'computerUrl' is defined 	1548034510933
REQUEST	11		Select	1548034511103	1548034511322	OK	 
REQUEST	7		Page 2	1548034511358	1548034511586	OK	 
REQUEST	9		Page 1	1548034511474	1548034511693	OK	 
USER	Users	2	END	1548034500693	1548034511724
REQUEST	6		Page 2	1548034511506	1548034511740	OK	 
REQUEST	12		Select	1548034511544	1548034511768	OK	 
REQUEST	5		Page 3	1548034511565	1548034511783	OK	 
REQUEST	8		Page 2	1548034511714	1548034511930	OK	 
REQUEST	3		Page 4	1548034511735	1548034511964	OK	 
REQUEST	4		Post	1548034511884	1548034512101	KO	status.find.is(201), but actually found 400
USER	Admins	4	END	1548034499705	1548034512111
REQUEST	10		Page 0	1548034511938	1548034512168	OK	 
REQUEST	11		Page 0	1548034512329	1548034512545	OK	 
REQUEST	7		Page 3	1548034512589	1548034512817	OK	 
REQUEST	9		Page 2	1548034512684	1548034512901	OK	 
USER	Users	3	END	1548034501693	1548034512973
REQUEST	6		Page 3	1548034512746	1548034512980	OK	 
REQUEST	12		Page 0	1548034512767	1548034512988	OK	 
REQUEST	5		Page 4	1548034512793	1548034513008	OK	 
REQUEST	8		Page 3	1548034512926	1548034513142	OK	 
REQUEST	10		Page 1	1548034513164	1548034513397	OK	 
REQUEST	11		Page 1	1548034513549	1548034513763	OK	 
USER	Users	5	END	1548034502655	1548034514008
REQUEST	7		Page 4	1548034513819	1548034514048	OK	 
REQUEST	9		Page 3	1548034513908	1548034514126	OK	 
REQUEST	6		Page 4	1548034513977	1548034514212	OK	 
REQUEST	12		Page 1	1548034513998	1548034514219	OK	 
REQUEST	8		Page 4	1548034514144	1548034514361	OK	 
REQUEST	10		Page 2	1548034514403	1548034514634	OK	 
REQUEST	11		Page 2	1548034514760	1548034514976	OK	 
USER	Users	7	END	1548034504657	1548034515048
USER	Users	6	END	1548034503653	1548034515218
REQUEST	9		Page 4	1548034515138	1548034515355	OK	 
REQUEST	12		Page 2	1548034515219	1548034515439	OK	 
REQUEST	8		Form	1548034515355	1548034515569	OK	 
REQUEST	10		Page 3	1548034515625	1548034515852	OK	 
REQUEST	11		Page 3	1548034515983	1548034516194	OK	 
USER	Users	9	END	1548034505653	1548034516345
REQUEST	12		Page 3	1548034516435	1548034516655	OK	 
REQUEST	8		Post	1548034516578	1548034516795	KO	status.find.is(201), but actually found 400
USER	Admins	8	END	1548034504657	1548034516812
REQUEST	10		Page 4	1548034516858	1548034517091	OK	 
REQUEST	11		Page 4	1548034517189	1548034517403	OK	 
REQUEST	12		Page 4	1548034517654	1548034517877	OK	 
USER	Users	10	END	1548034506664	1548034518088
USER	Users	11	END	1548034507663	1548034518406
USER	Users	12	END	1548034508657	1548034518886
